"Author","Title","Publisher","ISBN","Url"
"Orlandi, Adriana","Defining collocation for lexicographic purposes : from linguistic theory to lexicographic practice / Adriana Orlandi & Laura Giacomini (ed.)","Pieterlen (Bern) : Peter Lang","978-3-0343-2054-2","http://data.rero.ch/01-R008469993/html"
"Nouvel, Damien","Les entités nommées pour le traitement automatique des langues / Damien Nouvel, Maud Ehrmann, Sophie Rosset","London : ISTE Editions","1784051047 (pbk.)","http://data.rero.ch/01-R008308047/html"
"Kao, Anne","Natural language processing and text mining / Anne Kao ... [et al.], (eds.)","London : Springer","978-1-84628-175-4","http://data.rero.ch/01-R004328879/html"
"Miner, Gary D","Practical text mining and statistical analysis for non-structured text data applications / Gary Miner ... [et al.]","Waltham, Mass. : Academic Press Elsevier","012386979X (hbk.)","http://data.rero.ch/01-R007351106/html"
"Bilisoly, Roger","Practical text mining with Perl / Roger Bilisoly","Hoboken N.J. : John Wiley & Sons","978-0-470-17643-6","http://data.rero.ch/01-R005417039/html"
"Francesconi, Enrico","Semantic processing of legal texts : where the language of law meets the law of language / Enrico Francesconi... [et al.] (eds.)","Berlin ; New York : Springer","364212836X (pbk.)","http://data.rero.ch/01-R008487622/html"
"Liu, Bing","Sentiment analysis : mining opinions, sentiments, and emotions / Bing Liu","New York, NY : Cambridge University Press","9781107017894 (hardback)","http://data.rero.ch/01-R008487622/html"
"Liu, Bing","Sentiment analysis and opinion mining / Bing Liu","[San Rafael] : Morgan and Claypool","978-1-60845-884-4","http://data.rero.ch/01-R007702815/html"
"Zhai, ChengXiang","Text data management and analysis : a practical introduction to information retrieval and text mining / ChengXiang Zhai, Sean Massung","[New York] : Association for Computing Machinery ; [San Rafael, California] : Morgan & Claypool","9781970001167 (paperback)","http://data.rero.ch/01-R008490729/html"
"Kaushik, Avinash","Web analytics 2.0 : the art of online accountability & science of customer centricity / Avinash Kaushik","Indianapolis, Ind. : Wiley","978-0-470-52939-3","http://data.rero.ch/01-R005964487/html"
